Player1,Player2,Player3,Player4,Player5
agents.RandomAgent,agents.RandomAgent,agents.RandomAgent,agents.RandomAgent,agents.RandomAgent
85000,84000,77000,55000,76000
73000,99000,120000,51000,62000
107000,68000,76000,90000,84000
68000,102000,55000,87000,69000
49000,109000,56000,81000,72000
agents.GreedyAgent,agents.GreedyAgent,agents.GreedyAgent,agents.GreedyAgent,agents.GreedyAgent
35000,64000,67000,67000,70000
45000,72000,45000,67000,72000
33000,45000,45000,75000,84000
45000,47000,67000,67000,60000
45000,67000,67000,67000,74000
agents.TrustAgent,agents.TrustAgent,agents.TrustAgent,agents.TrustAgent,agents.TrustAgent
156000,32000,50000,82000,32000
142000,33000,136000,69000,38000
130000,112000,46000,32000,93000
84000,110000,36000,79000,78000
96000,145000,59000,82000,49000
agents.RandomAgent,agents.RandomAgent,agents.GreedyAgent,agents.RandomAgent,agents.RandomAgent
72000,124000,105000,69000,60000
105000,49000,112000,79000,56000
56000,73000,89000,84000,40000
77000,107000,64000,87000,90000
104000,66000,66000,79000,69000
agents.RandomAgent,agents.RandomAgent,agents.TrustAgent,agents.RandomAgent,agents.RandomAgent
104000,94000,61000,93000,66000
104000,89000,120000,59000,59000
138000,88000,58000,44000,76000
109000,83000,136000,68000,54000
129000,70000,72000,79000,66000
agents.GreedyAgent,agents.GreedyAgent,agents.TrustAgent,agents.GreedyAgent,agents.GreedyAgent
63000,35000,46000,45000,110000
87000,32000,32000,51000,68000
49000,38000,79000,65000,82000
93000,41000,43000,46000,97000
58000,33000,81000,64000,62000
agents.RandomAgent,agents.GreedyAgent,agents.GreedyAgent,agents.RandomAgent,agents.RandomAgent
54000,58000,101000,89000,55000
74000,81000,90000,106000,83000
93000,47000,103000,80000,69000
58000,63000,63000,74000,76000
78000,61000,59000,77000,72000
agents.RandomAgent,agents.TrustAgent,agents.TrustAgent,agents.RandomAgent,agents.RandomAgent
109000,63000,59000,123000,67000
131000,57000,65000,70000,79000
115000,79000,67000,122000,86000
89000,76000,67000,59000,110000
agents.GreedyAgent,agents.TrustAgent,agents.TrustAgent,agents.GreedyAgent,agents.GreedyAgent
90000,34000,48000,36000,58000
112000,81000,47000,47000,73000
126000,32000,50000,45000,68000
96000,42000,47000,42000,78000
143000,47000,44000,46000,97000
agents.RandomAgent,agents.GreedyAgent,agents.TrustAgent,agents.GreedyAgent,agents.RandomAgent
74000,117000,46000,47000,59000
123000,61000,44000,76000,79000
108000,69000,35000,45000,80000
54000,119000,41000,81000,72000
115000,50000,51000,74000,82000
agents.RandomAgent,agents.GreedyAgent,agents.TrustAgent,agents.TrustAgent,agents.GreedyAgent
132000,56000,114000,68000,44000
77000,120000,55000,64000,56000
89000,161000,56000,46000,77000
149000,68000,55000,54000,63000
133000,112000,90000,50000,53000
