Player1,Player2,Player3,Player4,Player5
agents.RandomAgent,agents.RandomAgent,agents.RandomAgent,agents.RandomAgent,agents.RandomAgent
106000,63000,74000,81000,45000
86000,119000,101000,78000,68000
72000,89000,116000,70000,64000
134000,53000,61000,96000,59000
63000,89000,59000,72000,67000
128000,89000,78000,65000,101000
129000,110000,54000,78000,70000
103000,100000,57000,73000,56000
68000,74000,93000,70000,76000
92000,62000,68000,68000,105000
agents.GreedyAgent,agents.GreedyAgent,agents.GreedyAgent,agents.GreedyAgent,agents.GreedyAgent
46000,57000,67000,67000,94000
45000,60000,67000,67000,71000
42000,56000,60000,42000,84000
45000,54000,67000,67000,51000
41000,59000,67000,67000,88000
45000,66000,67000,67000,66000
35000,64000,67000,68000,82000
45000,45000,67000,67000,66000
45000,45000,67000,67000,56000
44000,64000,67000,67000,81000
agents.TrustAgent,agents.TrustAgent,agents.TrustAgent,agents.TrustAgent,agents.TrustAgent
137000,104000,79000,97000,32000
106000,90000,96000,38000,66000
103000,130000,54000,93000,55000
131000,35000,95000,65000,95000
78000,50000,109000,38000,98000
100000,72000,87000,43000,80000
147000,142000,33000,106000,38000
109000,56000,109000,97000,59000
108000,66000,41000,103000,92000
145000,75000,39000,56000,83000
agents.RandomAgent,agents.RandomAgent,agents.GreedyAgent,agents.RandomAgent,agents.RandomAgent
89000,57000,114000,54000,48000
66000,94000,67000,66000,53000
61000,71000,80000,110000,75000
77000,122000,75000,66000,75000
96000,94000,95000,60000,46000
66000,86000,77000,71000,47000
53000,68000,56000,80000,102000
100000,80000,92000,115000,48000
84000,74000,96000,93000,47000
101000,78000,89000,75000,110000
agents.RandomAgent,agents.RandomAgent,agents.TrustAgent,agents.RandomAgent,agents.RandomAgent
116000,86000,67000,85000,75000
133000,59000,85000,64000,64000
121000,69000,84000,85000,57000
119000,100000,107000,51000,36000
123000,94000,99000,53000,46000
60000,54000,119000,94000,49000
107000,91000,68000,84000,62000
111000,84000,106000,71000,72000
164000,97000,67000,55000,51000
85000,101000,77000,68000,54000
agents.GreedyAgent,agents.GreedyAgent,agents.TrustAgent,agents.GreedyAgent,agents.GreedyAgent
55000,32000,32000,42000,85000
80000,56000,66000,59000,81000
57000,32000,32000,62000,65000
54000,50000,80000,65000,88000
60000,59000,49000,77000,104000
70000,32000,32000,60000,56000
42000,38000,77000,68000,75000
75000,52000,49000,57000,64000
81000,47000,59000,39000,93000
35000,63000,34000,63000,93000
agents.RandomAgent,agents.GreedyAgent,agents.GreedyAgent,agents.RandomAgent,agents.RandomAgent
88000,63000,67000,97000,60000
109000,43000,62000,95000,100000
101000,95000,50000,93000,81000
51000,75000,54000,103000,66000
47000,41000,53000,54000,109000
134000,78000,75000,68000,74000
98000,50000,59000,103000,74000
119000,56000,65000,62000,82000
63000,78000,68000,100000,51000
68000,81000,71000,61000,80000
agents.RandomAgent,agents.TrustAgent,agents.TrustAgent,agents.RandomAgent,agents.RandomAgent
111000,81000,62000,71000,100000
157000,87000,74000,110000,53000
81000,84000,99000,34000,53000
112000,118000,46000,68000,101000
103000,69000,51000,64000,83000
104000,72000,51000,99000,92000
153000,88000,56000,70000,59000
142000,93000,42000,56000,42000
131000,75000,57000,88000,57000
94000,80000,78000,98000,96000
agents.GreedyAgent,agents.TrustAgent,agents.TrustAgent,agents.GreedyAgent,agents.GreedyAgent
114000,57000,57000,39000,75000
115000,47000,57000,56000,82000
119000,35000,60000,76000,55000
112000,50000,57000,62000,90000
138000,39000,63000,63000,48000
112000,49000,48000,39000,83000
112000,59000,57000,63000,68000
124000,49000,34000,54000,99000
112000,58000,53000,56000,72000
102000,38000,39000,61000,58000
agents.RandomAgent,agents.GreedyAgent,agents.TrustAgent,agents.GreedyAgent,agents.RandomAgent
51000,113000,62000,71000,77000
62000,82000,76000,46000,76000
93000,94000,68000,56000,91000
78000,61000,54000,98000,78000
118000,98000,53000,43000,120000
100000,67000,41000,81000,70000
84000,65000,61000,68000,80000
98000,84000,36000,34000,72000
87000,87000,70000,71000,108000
120000,68000,64000,60000,101000
agents.RandomAgent,agents.GreedyAgent,agents.TrustAgent,agents.TrustAgent,agents.GreedyAgent
137000,100000,90000,36000,62000
86000,103000,77000,58000,43000
52000,90000,99000,71000,58000
87000,108000,57000,73000,40000
119000,52000,51000,90000,53000
104000,79000,64000,53000,68000
109000,103000,73000,39000,43000
132000,39000,84000,59000,48000
96000,52000,62000,70000,59000
105000,91000,68000,60000,49000
