Player1,Player2,Player3,Player4,Player5
agents.RandomAgent,agents.RandomAgent,agents.RandomAgent,agents.RandomAgent,agents.RandomAgent
182000,80000,232000,217000,170000
68000,232000,124000,178000,188000
160000,162000,247000,191000,113000
76000,158000,204000,155000,176000
261000,71000,105000,122000,182000
148000,200000,79000,95000,213000
102000,219000,137000,216000,162000
126000,274000,117000,103000,97000
208000,135000,130000,141000,223000
76000,225000,190000,187000,241000
agents.GreedyAgent,agents.GreedyAgent,agents.GreedyAgent,agents.GreedyAgent,agents.GreedyAgent
34000,122000,65000,209000,130000
77000,60000,62000,107000,262000
77000,93000,167000,167000,214000
34000,113000,137000,174000,158000
45000,110000,167000,167000,142000
56000,122000,62000,167000,167000
44000,65000,167000,167000,190000
75000,122000,89000,167000,157000
45000,83000,167000,167000,166000
69000,110000,110000,66000,213000
agents.TrustAgent,agents.TrustAgent,agents.TrustAgent,agents.TrustAgent,agents.TrustAgent
176000,267000,33000,228000,181000
331000,183000,231000,48000,136000
194000,284000,111000,185000,87000
259000,131000,219000,220000,32000
252000,62000,160000,211000,126000
113000,288000,212000,137000,187000
169000,255000,156000,203000,62000
155000,179000,138000,40000,304000
303000,176000,164000,155000,105000
316000,139000,80000,139000,146000
agents.RandomAgent,agents.RandomAgent,agents.GreedyAgent,agents.RandomAgent,agents.RandomAgent
114000,131000,230000,186000,193000
161000,165000,250000,167000,127000
161000,224000,174000,147000,160000
84000,147000,228000,191000,139000
77000,171000,148000,174000,133000
209000,172000,158000,190000,147000
293000,52000,141000,242000,206000
256000,142000,158000,165000,207000
178000,105000,262000,118000,171000
133000,238000,279000,97000,151000
agents.RandomAgent,agents.RandomAgent,agents.TrustAgent,agents.RandomAgent,agents.RandomAgent
232000,207000,113000,215000,143000
313000,60000,175000,116000,171000
147000,139000,255000,188000,152000
134000,172000,122000,183000,72000
177000,313000,181000,88000,196000
400000,127000,200000,85000,139000
105000,108000,227000,129000,270000
167000,258000,159000,142000,160000
192000,164000,185000,205000,185000
207000,172000,179000,150000,165000
agents.GreedyAgent,agents.GreedyAgent,agents.TrustAgent,agents.GreedyAgent,agents.GreedyAgent
152000,58000,32000,110000,164000
110000,38000,203000,112000,204000
95000,32000,32000,103000,135000
80000,38000,192000,149000,166000
164000,82000,75000,177000,202000
125000,76000,98000,93000,209000
113000,33000,209000,174000,124000
89000,38000,137000,169000,183000
163000,32000,38000,103000,215000
125000,33000,170000,146000,142000
agents.RandomAgent,agents.GreedyAgent,agents.GreedyAgent,agents.RandomAgent,agents.RandomAgent
121000,50000,157000,214000,209000
80000,89000,75000,206000,188000
106000,85000,107000,312000,216000
152000,127000,105000,154000,227000
116000,156000,86000,197000,310000
198000,100000,82000,167000,234000
92000,178000,103000,184000,256000
191000,101000,73000,167000,252000
86000,86000,68000,241000,198000
168000,219000,96000,223000,72000
agents.RandomAgent,agents.TrustAgent,agents.TrustAgent,agents.RandomAgent,agents.RandomAgent
101000,230000,85000,299000,130000
184000,71000,84000,255000,170000
207000,180000,132000,142000,172000
231000,308000,76000,98000,209000
95000,234000,161000,118000,225000
260000,135000,147000,159000,282000
294000,140000,120000,142000,222000
246000,124000,137000,90000,300000
227000,320000,90000,190000,73000
256000,229000,184000,148000,85000
agents.GreedyAgent,agents.TrustAgent,agents.TrustAgent,agents.GreedyAgent,agents.GreedyAgent
233000,108000,102000,107000,162000
231000,80000,97000,67000,173000
165000,109000,157000,89000,215000
210000,178000,94000,191000,163000
260000,56000,54000,215000,143000
298000,53000,102000,166000,91000
233000,107000,103000,62000,169000
149000,74000,56000,65000,195000
212000,110000,97000,67000,235000
313000,38000,123000,93000,122000
agents.RandomAgent,agents.GreedyAgent,agents.TrustAgent,agents.GreedyAgent,agents.RandomAgent
223000,133000,119000,126000,84000
260000,130000,97000,102000,209000
160000,302000,226000,74000,180000
241000,136000,191000,151000,130000
182000,105000,122000,51000,161000
278000,91000,56000,150000,260000
266000,170000,94000,98000,202000
196000,164000,110000,168000,159000
184000,167000,187000,84000,156000
204000,172000,57000,193000,183000
agents.RandomAgent,agents.GreedyAgent,agents.TrustAgent,agents.TrustAgent,agents.GreedyAgent
303000,123000,82000,157000,93000
188000,288000,116000,163000,125000
149000,86000,221000,99000,202000
168000,335000,140000,138000,53000
196000,209000,146000,130000,117000
184000,135000,107000,167000,105000
152000,225000,36000,135000,102000
204000,110000,230000,116000,165000
95000,52000,143000,196000,262000
235000,201000,156000,103000,88000
