Player1,Player2,Player3,Player4,Player5,Player6,Player7,Player8,Player9,Player10,Player11,Player12,Player13,Player14,Player15,Player16,Player17,Player18,Player19,Player20
agents.RandomAgent,agents.RandomAgent,agents.RandomAgent,agents.RandomAgent,agents.RandomAgent
agents.GreedyAgent,agents.GreedyAgent,agents.GreedyAgent,agents.GreedyAgent,agents.GreedyAgent,agents.RandomAgent,agents.RandomAgent,agents.RandomAgent,agents.RandomAgent,agents.RandomAgent,agents.RandomAgent,agents.RandomAgent,agents.RandomAgent,agents.RandomAgent,agents.RandomAgent,agents.RandomAgent,agents.RandomAgent,agents.RandomAgent,agents.RandomAgent,agents.RandomAgent
agents.GreedyAgent,agents.GreedyAgent,agents.GreedyAgent,agents.GreedyAgent,agents.GreedyAgent,agents.RandomAgent,agents.RandomAgent,agents.RandomAgent,agents.RandomAgent,agents.RandomAgent,agents.RandomAgent,agents.RandomAgent,agents.RandomAgent,agents.RandomAgent,agents.RandomAgent,agents.RandomAgent,agents.RandomAgent,agents.RandomAgent,agents.RandomAgent,agents.RandomAgent
agents.GreedyAgent,agents.GreedyAgent,agents.GreedyAgent,agents.GreedyAgent,agents.GreedyAgent,agents.RandomAgent,agents.RandomAgent,agents.RandomAgent,agents.RandomAgent,agents.RandomAgent,agents.RandomAgent,agents.RandomAgent,agents.RandomAgent,agents.RandomAgent,agents.RandomAgent,agents.RandomAgent,agents.RandomAgent,agents.RandomAgent,agents.RandomAgent,agents.RandomAgent
agents.GreedyAgent,agents.GreedyAgent,agents.GreedyAgent,agents.GreedyAgent,agents.GreedyAgent,agents.RandomAgent,agents.RandomAgent,agents.RandomAgent,agents.RandomAgent,agents.RandomAgent,agents.RandomAgent,agents.RandomAgent,agents.RandomAgent,agents.RandomAgent,agents.RandomAgent,agents.RandomAgent,agents.RandomAgent,agents.RandomAgent,agents.RandomAgent,agents.RandomAgent
33000,35000,82000,89000,66000,173000,248000,224000,132000,176000,99000,216000,69000,295000,170000,175000,152000,230000,203000,180000
113000,53000,47000,56000,51000,145000,162000,139000,283000,144000,189000,83000,158000,197000,213000,197000,163000,229000,244000,123000
42000,62000,34000,54000,114000,48000,112000,231000,97000,164000,92000,171000,188000,181000,185000,146000,168000,209000,171000,230000
33000,59000,59000,44000,65000,266000,140000,275000,187000,217000,135000,238000,151000,150000,95000,280000,178000,130000,138000,60000
33000,42000,60000,68000,83000,200000,80000,125000,122000,203000,370000,154000,184000,183000,185000,140000,192000,200000,215000,260000
60000,54000,39000,65000,133000,180000,218000,131000,209000,168000,211000,152000,104000,74000,146000,224000,283000,233000,194000,124000
43000,41000,57000,45000,77000,112000,160000,162000,201000,381000,198000,104000,112000,159000,178000,113000,209000,186000,212000,112000
36000,35000,40000,114000,188000,103000,143000,103000,261000,133000,162000,163000,82000,116000,166000,292000,122000,255000,293000,148000
103000,62000,54000,35000,74000,88000,147000,205000,147000,108000,165000,117000,202000,207000,205000,190000,287000,168000,211000,150000
agents.TrustAgent,agents.TrustAgent,agents.TrustAgent,agents.TrustAgent,agents.TrustAgent,agents.RandomAgent,agents.RandomAgent,agents.RandomAgent,agents.RandomAgent,agents.RandomAgent,agents.RandomAgent,agents.RandomAgent,agents.RandomAgent,agents.RandomAgent,agents.RandomAgent,agents.RandomAgent,agents.RandomAgent,agents.RandomAgent,agents.RandomAgent,agents.RandomAgent
114000,33000,61000,146000,40000,74000,161000,92000,180000,144000,95000,222000,146000,255000,185000,113000,252000,91000,401000,261000
86000,227000,131000,47000,56000,169000,156000,301000,204000,97000,120000,155000,116000,113000,213000,72000,299000,87000,125000,288000
114000,201000,139000,147000,191000,250000,106000,254000,158000,192000,82000,110000,208000,147000,152000,274000,208000,196000,359000,78000
80000,34000,212000,56000,162000,108000,262000,170000,114000,114000,90000,243000,194000,165000,232000,110000,151000,296000,304000,126000
